Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_On_Foot_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Bicycle_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Bus_Minibus_Coach_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Train_Dart_Luas_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Motorcycle_Scooter_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Car_Driver_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Car_Passenger_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Van_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Other_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Soft_Modes_Comb_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Public_Transport_Comb_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Private_Transport_Comb_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Total_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_Before_0630_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0630_0700_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0701_0730_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0731_8000_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0801_0830_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0831_0900_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0901_0930_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_After_0930_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_Not_Stated_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_Total_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Under_15_mins_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Quarter_To_Under_Half_Hour_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Half_Hour_To_Under_Three_Quarter_Hours_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Three_Quarter_Hours_To_Under_One_Hour_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_One_Hour_To_Under_One_Hour_Thirty_Mins_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_One_And_Half_Hours_And_Over_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Not_Stated_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Total_2011
10813,47001001,A047001001,18054,054 Abbeymahon,Cork County,South-West,SE,Southern,4,0,26,0,0,43,5,13,8,4,26,61,99,4,6,12,6,24,30,4,6,1,93,22,40,12,9,6,1,3,93
10814,47001002,A047001002,18054,054 Abbeymahon,Cork County,South-West,SE,Southern,6,0,29,0,1,58,30,5,23,6,29,94,152,1,9,15,25,30,30,13,5,6,134,38,47,14,7,17,2,9,134
10815,47001003,A047001003,18054,054 Abbeymahon,Cork County,South-West,SE,Southern,17,1,34,0,0,42,22,18,18,18,34,82,152,5,8,11,22,23,51,12,4,5,141,53,49,14,5,11,1,8,141
10783,47002002,A047002002,18047,047 Adrigole,Cork County,South-West,SE,Southern,5,1,8,0,0,15,7,13,2,6,8,35,51,3,2,3,13,12,3,11,2,0,49,17,10,11,3,2,3,3,49
10785,47002005,A047002005,18047,047 Adrigole,Cork County,South-West,SE,Southern,0,0,8,0,0,26,17,8,5,0,8,51,64,2,3,2,13,13,6,18,2,1,60,18,10,18,2,5,5,2,60
11995,47003001,A047003001,18286,286 Aghadown North,Cork County,South-West,SE,Southern,12,0,37,1,1,59,37,17,31,12,38,114,195,4,3,7,15,39,65,21,10,11,175,78,49,28,4,4,3,9,175
11997,47004003,A047004003,18287,287 Aghadown South,Cork County,South-West,SE,Southern,3,2,13,0,0,30,11,12,12,5,13,53,83,2,4,6,7,16,23,9,3,5,75,25,19,14,0,5,2,10,75
11998,47004004,A047004004,18287,287 Aghadown South,Cork County,South-West,SE,Southern,5,0,9,1,0,38,20,7,9,5,10,65,89,3,2,7,9,19,33,3,5,1,82,33,26,9,2,5,1,6,82
11999,47004005,A047004005,18287,287 Aghadown South,Cork County,South-West,SE,Southern,2,1,6,0,0,30,16,11,7,3,6,57,73,2,5,4,11,15,26,1,0,3,67,30,18,5,4,5,2,3,67
11385,47005001,A047005001,18121,121 Aghern,Cork County,South-West,SE,Southern,5,0,18,0,0,76,28,8,18,5,18,112,153,9,16,14,31,18,22,17,8,8,143,34,36,33,15,9,4,12,143
11637,47006001,A047006001,18197,197 Aghinagh,Cork County,South-West,SE,Southern,4,0,12,0,0,72,35,8,21,4,12,115,152,8,13,11,18,32,22,22,5,5,136,43,33,30,18,4,2,6,136
11638,47006002,A047006002,18197,197 Aghinagh,Cork County,South-West,SE,Southern,4,1,6,0,0,72,45,11,9,5,6,128,148,6,11,9,22,33,28,23,6,4,142,39,38,34,10,9,3,9,142
11639,47007001,A047007001,18198,198 Aglish,Cork County,South-West,SE,Southern,3,0,11,0,0,81,45,15,20,3,11,141,175,1,8,18,27,32,46,19,7,2,160,49,62,30,7,3,0,9,160
11640,47007002,A047007002,18198,198 Aglish,Cork County,South-West,SE,Southern,6,0,5,0,0,123,71,16,23,6,5,210,244,9,16,20,29,56,50,37,8,3,228,73,68,59,15,1,6,6,228
11641,47007003,A047007003,18198,198 Aglish,Cork County,South-West,SE,Southern,4,1,12,0,0,146,61,15,20,5,12,222,259,11,17,31,41,59,35,35,15,8,252,61,86,68,14,5,2,16,252
11642,47007004,A047007004,18198,198 Aglish,Cork County,South-West,SE,Southern,1,0,20,0,0,118,62,12,27,1,20,192,240,2,10,20,32,72,40,33,8,4,221,36,93,64,15,4,3,6,221
10735,47008001,A047008001,18032,032 Ahil,Cork County,South-West,SE,Southern,4,1,28,0,0,29,29,12,30,5,28,70,133,2,5,6,14,22,17,31,5,10,112,30,32,25,2,6,5,12,112
11471,47009001,A047009001,18145,145 Allow,Cork County,South-West,SE,Southern,10,0,5,0,0,59,21,10,17,10,5,90,122,3,14,10,21,16,20,16,6,2,108,29,32,23,6,7,3,8,108
11472,47009002,A047009002,18145,145 Allow,Cork County,South-West,SE,Southern,5,1,13,0,0,78,40,9,15,6,13,127,161,6,12,16,20,30,31,24,10,1,150,45,57,17,4,21,2,4,150
12088,47010001,A047010001,18320,320 Ardagh,Cork County,South-West,SE,Southern,6,0,32,0,0,86,43,21,38,6,32,150,226,11,11,30,40,28,36,22,12,6,196,52,36,59,22,12,2,13,196
12089,47010002,A047010002,18320,320 Ardagh,Cork County,South-West,SE,Southern,10,1,10,2,0,90,33,19,22,11,12,142,187,18,16,21,27,34,23,20,7,3,169,47,45,38,18,15,2,4,169
10816,47011001,A047011001,18055,055 Ardfield,Cork County,South-West,SE,Southern,6,0,14,0,0,55,40,9,23,6,14,104,147,6,2,5,15,25,46,21,5,6,131,68,29,5,9,11,1,8,131
10817,47011002,A047011002,18055,055 Ardfield,Cork County,South-West,SE,Southern,9,0,12,0,1,50,23,4,9,9,12,78,108,5,5,3,15,16,29,18,8,3,102,47,23,9,6,11,0,6,102
10818,47011003,A047011003,18055,055 Ardfield,Cork County,South-West,SE,Southern,5,0,5,0,0,45,26,5,9,5,5,76,95,6,5,6,8,21,27,11,2,2,88,31,31,5,2,10,4,5,88
10819,47011004,A047011004,18055,055 Ardfield,Cork County,South-West,SE,Southern,4,2,13,0,0,58,25,7,10,6,13,90,119,2,2,6,8,27,47,13,4,3,112,60,26,13,5,5,0,3,112
11700,47012001,A047012001,18221,221 Ardskeagh,Cork County,South-West,SE,Southern,1,2,4,1,0,53,39,6,9,3,5,98,115,2,3,13,15,15,44,7,7,3,109,61,15,8,6,9,1,9,109
11701,47012002,A047012002,18221,221 Ardskeagh,Cork County,South-West,SE,Southern,5,1,1,0,0,71,35,14,23,6,1,120,150,3,14,12,23,26,20,23,5,10,136,51,31,13,10,13,3,15,136
10820,47013001,A047013001,18056,056 Argideen,Cork County,South-West,SE,Southern,12,0,40,0,0,111,38,14,42,12,40,163,257,4,12,11,44,43,72,26,8,6,226,75,84,32,10,16,1,8,226
11350,47014001,A047014001,18105,105 Aultagh,Cork County,South-West,SE,Southern,5,0,24,0,0,93,40,17,42,5,24,150,221,11,12,15,26,41,46,18,15,5,189,49,49,44,20,15,0,12,189
10646,47015001,A047015001,18011,011 Ballinadee,Cork County,South-West,SE,Southern,3,1,30,0,0,59,22,15,15,4,30,96,145,5,3,11,26,25,38,19,6,3,136,38,36,35,17,0,2,8,136
10647,47015002,A047015002,18011,011 Ballinadee,Cork County,South-West,SE,Southern,14,0,10,0,1,97,24,12,23,14,10,134,181,10,14,22,26,34,25,21,6,8,166,58,34,34,19,4,2,15,166
10866,47016001,A047016001,18075,075 Ballincollig,Cork County,South-West,SE,Southern,2,2,6,0,0,152,61,8,5,4,6,221,236,12,11,21,42,78,32,19,14,3,232,72,89,48,7,1,6,9,232
10867,47016002,A047016002,18075,075 Ballincollig,Cork County,South-West,SE,Southern,4,1,11,0,0,179,121,10,8,5,11,310,334,9,20,33,42,97,86,22,13,8,330,119,124,66,5,1,3,12,330
10868,47016003,A047016003,18075,075 Ballincollig,Cork County,South-West,SE,Southern,15,3,12,0,0,108,69,6,6,18,12,183,219,5,8,20,35,60,73,8,5,2,216,74,83,39,6,6,1,7,216
10869,47016004,A047016004,18075,075 Ballincollig,Cork County,South-West,SE,Southern,10,3,12,0,0,98,39,2,6,13,12,139,170,5,13,26,27,40,37,4,11,6,169,49,69,32,4,6,1,8,169
10870,47016005,A047016005,18075,075 Ballincollig,Cork County,South-West,SE,Southern,52,1,12,0,0,99,25,10,9,53,12,134,208,12,11,19,23,32,66,15,23,5,206,91,63,32,7,3,4,6,206
10871,47016006,A047016006,18075,075 Ballincollig,Cork County,South-West,SE,Southern,19,3,13,0,1,153,72,9,8,22,13,235,278,11,13,32,49,72,59,16,17,6,275,81,123,56,1,4,0,10,275
10872,47016007,A047016007,18075,075 Ballincollig,Cork County,South-West,SE,Southern,12,4,19,0,1,95,36,5,12,16,19,137,184,10,11,11,32,38,47,5,16,13,183,52,78,32,6,0,0,15,183
10873,47016008,A047016008,18075,075 Ballincollig,Cork County,South-West,SE,Southern,3,3,6,1,1,159,65,6,7,6,7,231,251,8,18,26,40,70,60,10,9,9,250,90,90,46,9,3,4,8,250
10874,47016009,A047016009,18075,075 Ballincollig,Cork County,South-West,SE,Southern,2,0,19,0,0,122,133,2,7,2,19,257,285,2,10,7,43,105,73,35,3,2,280,124,102,35,8,3,2,6,280
10875,47016010,A047016010,18075,075 Ballincollig,Cork County,South-West,SE,Southern,8,1,3,1,2,87,18,3,6,9,4,110,129,4,8,14,21,31,24,8,13,6,129,38,56,22,5,0,0,8,129
10876,47016011,A047016011,18075,075 Ballincollig,Cork County,South-West,SE,Southern,43,2,12,1,0,105,14,5,7,45,13,124,189,7,8,16,38,63,22,8,21,4,187,67,81,25,5,3,2,4,187
10877,47016012,A047016012,18075,075 Ballincollig,Cork County,South-West,SE,Southern,6,6,7,1,0,70,30,7,9,12,8,107,136,2,7,7,23,43,27,9,11,6,135,33,78,14,2,0,1,7,135
10878,47016013,A047016013,18075,075 Ballincollig,Cork County,South-West,SE,Southern,5,3,4,0,2,110,77,7,17,8,4,196,225,1,7,10,31,95,42,10,12,8,216,49,117,33,7,1,1,8,216
10879,47016014,A047016014,18075,075 Ballincollig,Cork County,South-West,SE,Southern,4,2,5,0,2,128,78,8,13,6,5,216,240,4,6,12,35,106,39,14,13,3,232,71,122,23,8,3,0,5,232
10880,47016015,A047016015,18075,075 Ballincollig,Cork County,South-West,SE,Southern,22,5,6,0,0,74,36,4,4,27,6,114,151,6,6,13,27,44,35,7,8,3,149,53,64,25,1,3,0,3,149
10881,47016016,A047016016,18075,075 Ballincollig,Cork County,South-West,SE,Southern,31,8,13,0,2,150,80,4,9,39,13,236,297,4,11,20,34,119,82,6,11,5,292,104,132,42,4,2,2,6,292
10882,47016017,A047016017,18075,075 Ballincollig,Cork County,South-West,SE,Southern,13,3,12,0,2,72,44,11,8,16,12,129,165,4,5,15,25,37,52,4,16,6,164,69,57,23,3,3,1,8,164
10883,47016018,A047016018,18075,075 Ballincollig,Cork County,South-West,SE,Southern,14,0,10,0,1,75,27,5,6,14,10,108,138,4,4,11,26,33,30,8,17,3,136,52,54,19,2,2,1,6,136
10884,47016019,A047016019,18075,075 Ballincollig,Cork County,South-West,SE,Southern,14,2,13,0,1,85,34,5,5,16,13,125,159,6,2,16,33,39,31,7,19,3,156,51,64,29,4,1,1,6,156
10885,47016020,A047016020,18075,075 Ballincollig,Cork County,South-West,SE,Southern,44,3,6,1,2,117,55,8,5,47,7,182,241,9,10,15,21,72,76,10,21,6,240,88,95,32,10,4,2,9,240
10886,47016021,A047016021,18075,075 Ballincollig,Cork County,South-West,SE,Southern,21,3,5,0,0,48,18,4,7,24,5,70,106,3,6,8,13,29,23,8,10,4,104,32,38,19,6,4,0,5,104
10887,47016022,A047016022,18075,075 Ballincollig,Cork County,South-West,SE,Southern,31,0,5,0,2,77,18,4,6,31,5,101,143,5,9,9,22,33,35,12,11,3,139,44,67,20,1,1,2,4,139
10888,47016023,A047016023,18075,075 Ballincollig,Cork County,South-West,SE,Southern,29,1,7,0,0,72,26,11,4,30,7,109,150,2,6,17,16,42,38,12,11,5,149,43,63,32,2,3,0,6,149
10889,47016024,A047016024,18075,075 Ballincollig,Cork County,South-West,SE,Southern,34,0,10,1,0,83,34,11,8,34,11,128,181,8,5,18,19,43,53,8,17,9,180,47,80,38,6,1,1,7,180
10890,47016025,A047016025,18075,075 Ballincollig,Cork County,South-West,SE,Southern,40,2,5,0,0,87,25,11,6,42,5,123,176,4,9,13,26,48,44,7,18,2,171,58,69,35,2,3,0,4,171
10891,47016026,A047016026,18075,075 Ballincollig,Cork County,South-West,SE,Southern,47,2,8,0,1,70,30,6,2,49,8,107,166,7,14,15,27,36,35,9,21,1,165,59,67,25,3,2,2,7,165
10892,47016027,A047016027,18075,075 Ballincollig,Cork County,South-West,SE,Southern,24,6,11,0,2,70,30,8,6,30,11,110,157,4,11,10,25,36,42,9,13,5,155,48,61,35,3,1,1,6,155
10893,47016028,A047016028,18075,075 Ballincollig,Cork County,South-West,SE,Southern,19,5,8,1,2,95,64,10,9,24,9,171,213,7,11,16,30,75,42,7,14,9,211,77,82,37,2,2,2,9,211
10894,47016029,A047016029,18075,075 Ballincollig,Cork County,South-West,SE,Southern,21,0,2,0,0,87,56,10,10,21,2,153,186,5,5,9,32,54,60,3,11,0,179,65,78,31,1,0,1,3,179
10895,47016030,A047016030,18075,075 Ballincollig,Cork County,South-West,SE,Southern,3,2,6,0,0,113,56,10,11,5,6,179,201,2,12,9,33,71,47,6,9,3,192,62,83,35,6,2,1,3,192
10896,47016031,A047016031,18075,075 Ballincollig,Cork County,South-West,SE,Southern,10,2,7,0,1,119,57,15,10,12,7,192,221,7,5,11,34,64,56,20,13,4,214,82,81,37,3,4,2,5,214
10897,47016032,A047016032,18075,075 Ballincollig,Cork County,South-West,SE,Southern,9,2,13,0,1,128,50,8,12,11,13,187,223,8,7,24,26,63,53,16,13,9,219,57,89,46,12,3,2,10,219
10898,47016033,A047016033,18075,075 Ballincollig,Cork County,South-West,SE,Southern,18,6,18,0,0,90,34,11,2,24,18,135,179,8,5,12,29,44,45,16,16,3,178,72,62,33,4,1,0,6,178
10899,47016034,A047016034,18075,075 Ballincollig,Cork County,South-West,SE,Southern,48,4,8,0,0,33,7,3,1,52,8,43,104,4,11,3,8,17,44,5,8,4,104,62,21,17,0,0,0,4,104
10900,47016035,A047016035,18075,075 Ballincollig,Cork County,South-West,SE,Southern,55,1,11,0,0,40,18,3,3,56,11,61,131,4,4,11,17,27,48,5,11,4,131,73,25,21,1,2,0,9,131
10901,47016036,A047016036,18075,075 Ballincollig,Cork County,South-West,SE,Southern,22,1,3,0,0,79,18,7,6,23,3,104,136,5,9,7,28,39,29,5,10,2,134,48,51,18,3,6,3,5,134
10902,47016037,A047016037,18075,075 Ballincollig,Cork County,South-West,SE,Southern,12,1,3,1,0,78,14,4,3,13,4,96,116,3,10,8,27,40,19,1,5,3,116,32,55,18,4,1,1,5,116
10903,47016038,A047016038,18075,075 Ballincollig,Cork County,South-West,SE,Southern,34,2,2,0,2,102,28,0,2,36,2,132,172,3,5,25,45,40,39,3,6,5,171,65,68,25,2,5,2,4,171
10904,47016039,A047016039,18075,075 Ballincollig,Cork County,South-West,SE,Southern,50,2,8,0,2,115,40,8,5,52,8,165,230,11,11,19,39,56,58,8,24,3,229,81,100,34,7,3,1,3,229
10905,47016040,A047016040,18075,075 Ballincollig,Cork County,South-West,SE,Southern,18,2,8,0,1,68,29,6,5,20,8,104,137,5,3,10,14,49,34,7,9,4,135,45,50,27,1,2,0,10,135
10906,47016041,A047016041,18075,075 Ballincollig,Cork County,South-West,SE,Southern,32,1,12,0,0,74,31,6,4,33,12,111,160,11,4,18,27,36,42,5,12,2,157,53,65,30,1,4,1,3,157
10907,47016042,A047016042,18075,075 Ballincollig,Cork County,South-West,SE,Southern,29,2,6,0,0,75,36,6,1,31,6,117,155,4,4,12,15,40,57,8,14,1,155,52,59,36,1,2,1,4,155
10908,47016043,A047016043,18075,075 Ballincollig,Cork County,South-West,SE,Southern,22,2,4,0,2,103,43,7,2,24,4,155,185,9,8,15,18,55,55,8,15,0,183,71,83,24,1,0,1,3,183
10909,47016044,A047016044,18075,075 Ballincollig,Cork County,South-West,SE,Southern,29,1,7,0,2,101,37,7,7,30,7,147,191,10,9,18,29,36,60,6,17,2,187,68,75,30,3,4,0,7,187
10910,47016045,A047016045,18075,075 Ballincollig,Cork County,South-West,SE,Southern,9,2,9,0,0,75,63,3,6,11,9,141,167,3,4,11,15,89,28,3,9,3,165,49,73,30,4,3,0,6,165
10911,47016046,A047016046,18075,075 Ballincollig,Cork County,South-West,SE,Southern,19,1,17,0,0,69,95,1,15,20,17,165,217,4,7,11,16,78,76,7,11,6,216,79,87,31,3,2,2,12,216
10912,47016047,A047016047,18075,075 Ballincollig,Cork County,South-West,SE,Southern,8,1,8,0,0,138,70,7,8,9,8,215,240,4,12,20,44,64,62,10,15,3,234,89,94,38,4,2,2,5,234
10913,47016048,A047016048,18075,075 Ballincollig,Cork County,South-West,SE,Southern,14,1,8,0,1,88,21,3,7,15,8,113,143,6,6,12,27,37,30,8,11,4,141,47,56,25,3,3,1,6,141
10914,47016049,A047016049,18075,075 Ballincollig,Cork County,South-West,SE,Southern,15,3,1,0,0,56,17,2,8,18,1,75,102,7,4,11,19,20,30,2,4,2,99,36,32,23,1,1,2,4,99
10915,47016050,A047016050,18075,075 Ballincollig,Cork County,South-West,SE,Southern,6,2,19,0,0,80,54,16,17,8,19,150,194,7,4,15,36,45,44,15,10,7,183,64,62,34,9,3,1,10,183
10916,47016051,A047016051,18075,075 Ballincollig,Cork County,South-West,SE,Southern,4,1,12,0,0,61,58,1,6,5,12,120,143,6,5,9,14,39,47,8,9,6,143,56,44,24,5,0,0,14,143
10917,47016052,A047016052,18075,075 Ballincollig,Cork County,South-West,SE,Southern,4,1,7,1,1,106,86,8,14,5,8,201,228,0,5,14,28,83,54,22,8,6,220,74,91,40,3,1,2,9,220
10918,47016053,A047016053,18075,075 Ballincollig,Cork County,South-West,SE,Southern,4,0,6,0,1,115,79,9,13,4,6,204,227,3,12,13,32,72,48,14,20,12,226,75,88,36,8,3,1,15,226
10919,47016054,A047016054,18075,075 Ballincollig,Cork County,South-West,SE,Southern,7,2,8,0,0,148,59,7,10,9,8,214,241,5,7,22,45,69,62,11,11,6,238,68,96,57,3,4,3,7,238
10920,47016055,A047016055,18075,075 Ballincollig,Cork County,South-West,SE,Southern,30,8,12,0,0,85,25,9,8,38,12,119,177,8,4,17,34,33,43,5,25,4,173,52,73,32,5,0,2,9,173
10921,47016056,A047016056,18075,075 Ballincollig,Cork County,South-West,SE,Southern,17,0,7,0,2,52,18,6,3,17,7,78,105,6,8,10,14,22,27,5,10,2,104,27,47,17,4,1,1,7,104
10922,47016057,A047016057,18075,075 Ballincollig,Cork County,South-West,SE,Southern,40,3,8,0,3,97,28,7,8,43,8,135,194,6,9,14,38,38,51,11,20,4,191,68,82,27,3,2,2,7,191
10923,47016058,A047016058,18075,075 Ballincollig,Cork County,South-West,SE,Southern,39,1,10,0,0,71,15,5,4,40,10,91,145,6,8,21,25,27,35,7,14,0,143,49,66,17,3,4,2,2,143
10924,47016059,A047016059,18075,075 Ballincollig,Cork County,South-West,SE,Southern,30,1,9,0,0,68,10,3,1,31,9,81,122,4,4,14,22,30,30,2,14,2,122,50,43,23,1,2,0,3,122
10925,47016060,A047016060,18075,075 Ballincollig,Cork County,South-West,SE,Southern,15,0,7,0,0,74,21,2,7,15,7,97,126,3,2,12,28,37,18,12,8,2,122,43,50,19,5,0,0,5,122
10926,47016061,A047016061,18075,075 Ballincollig,Cork County,South-West,SE,Southern,1,0,7,0,0,69,24,5,5,1,7,98,111,7,2,9,16,33,24,7,9,2,109,28,46,24,3,2,2,4,109
10927,47016062,A047016062,18075,075 Ballincollig,Cork County,South-West,SE,Southern,33,0,5,0,0,28,3,2,7,33,5,33,78,2,3,6,5,20,25,3,7,6,77,36,22,5,1,2,1,10,77
10928,47016063,A047016063,18075,075 Ballincollig,Cork County,South-West,SE,Southern,79,3,18,0,2,48,25,3,10,82,18,78,188,6,8,16,20,39,50,13,25,10,187,81,48,32,2,4,1,19,187
10929,47016064,A047016064,18075,075 Ballincollig,Cork County,South-West,SE,Southern,8,1,20,0,0,179,113,22,34,9,20,314,377,7,14,29,50,130,83,16,16,10,355,99,159,69,4,3,3,18,355
10930,47016065,A047016065,18075,075 Ballincollig,Cork County,South-West,SE,Southern,44,4,9,0,0,50,38,0,6,48,9,88,151,2,5,8,12,36,68,5,10,4,150,77,44,19,3,3,0,4,150
10931,47016066,A047016066,18075,075 Ballincollig,Cork County,South-West,SE,Southern,36,1,7,0,0,62,30,4,3,37,7,96,143,2,3,14,25,26,42,6,20,4,142,66,46,22,3,0,1,4,142
11351,47017001,A047017001,18106,106 Ballingurteen,Cork County,South-West,SE,Southern,5,2,11,0,0,50,21,9,15,7,11,80,113,2,8,4,20,22,28,12,3,4,103,27,40,17,5,7,2,5,103
11352,47017002,A047017002,18106,106 Ballingurteen,Cork County,South-West,SE,Southern,9,1,25,0,0,59,28,6,20,10,25,93,148,5,8,6,29,14,27,30,12,9,140,46,43,22,4,10,1,14,140
11353,47017003,A047017003,18106,106 Ballingurteen,Cork County,South-West,SE,Southern,6,1,6,1,0,50,45,11,21,7,7,106,141,4,11,8,12,16,46,18,7,8,130,63,26,19,3,7,1,11,130
11546,47018001,A047018001,18178,178 Ballinspittle,Cork County,South-West,SE,Southern,3,1,20,0,2,84,32,10,20,4,20,128,172,4,10,20,33,19,25,30,11,9,161,64,24,39,20,4,0,10,161
11547,47018002,A047018002,18178,178 Ballinspittle,Cork County,South-West,SE,Southern,21,1,17,0,0,45,17,8,10,22,17,70,119,4,8,14,10,21,12,25,11,11,116,47,24,18,6,5,2,14,116
11548,47018003,A047018003,18178,178 Ballinspittle,Cork County,South-West,SE,Southern,0,0,13,0,0,51,18,15,10,0,13,84,107,8,4,9,18,21,9,18,10,2,99,20,33,22,13,9,1,1,99
11804,47019001,A047019001,18246,246 Ballintemple,Cork County,South-West,SE,Southern,4,1,12,1,1,70,19,4,8,5,13,94,120,7,6,28,14,18,19,10,8,3,113,29,28,19,21,13,0,3,113
11805,47019002,A047019002,18246,246 Ballintemple,Cork County,South-West,SE,Southern,7,0,2,1,0,33,7,10,12,7,3,50,72,2,6,14,15,6,6,7,2,2,60,13,18,15,7,3,2,2,60
11806,47019003,A047019003,18246,246 Ballintemple,Cork County,South-West,SE,Southern,3,0,9,1,0,48,17,11,15,3,10,76,104,3,10,13,27,12,9,11,6,7,98,19,24,17,20,5,1,12,98
11960,47020001,A047020001,18277,277 Ballyarthur,Cork County,South-West,SE,Southern,6,0,4,0,0,82,55,17,29,6,4,154,193,6,18,19,12,42,54,9,6,5,171,72,36,22,13,17,1,10,171
12059,47021001,A047021001,18309,309 Ballybane,Cork County,South-West,SE,Southern,6,1,12,0,0,37,18,9,8,7,12,64,91,2,4,11,8,11,30,13,5,1,85,30,33,9,3,2,5,3,85
12060,47021002,A047021002,18309,309 Ballybane,Cork County,South-West,SE,Southern,3,0,26,0,1,29,7,6,17,3,26,43,89,2,4,4,15,10,21,11,5,7,79,12,45,7,3,1,2,9,79
11702,47022001,A047022001,18222,222 Ballyclogh,Cork County,South-West,SE,Southern,11,0,20,4,0,54,15,12,15,11,24,81,131,8,5,20,17,24,28,13,4,2,121,34,40,19,15,5,2,6,121
11703,47022002,A047022002,18222,222 Ballyclogh,Cork County,South-West,SE,Southern,8,0,10,5,1,79,34,11,11,8,15,125,159,3,14,11,15,54,36,12,4,2,151,54,34,31,8,14,3,7,151
11704,47022003,A047022003,18222,222 Ballyclogh,Cork County,South-West,SE,Southern,4,0,9,2,0,75,29,11,19,4,11,115,149,7,9,15,25,28,26,16,7,7,140,46,33,19,4,20,2,16,140
11807,47023001,A047023001,18247,247 Ballycottin,Cork County,South-West,SE,Southern,7,0,4,0,1,34,15,8,5,7,4,58,74,3,3,8,11,12,8,20,6,0,71,29,9,13,8,7,1,4,71
11808,47023002,A047023002,18247,247 Ballycottin,Cork County,South-West,SE,Southern,5,1,20,1,0,81,36,14,11,6,21,131,169,5,12,19,47,16,31,20,9,3,162,51,31,33,19,18,2,8,162
11809,47023003,A047023003,18247,247 Ballycottin,Cork County,South-West,SE,Southern,4,1,9,1,1,51,25,7,19,5,10,84,118,5,5,10,19,15,15,24,6,12,111,41,25,18,10,3,2,12,111
11810,47023004,A047023004,18247,247 Ballycottin,Cork County,South-West,SE,Southern,4,0,16,0,0,44,26,7,6,4,16,77,103,2,8,14,21,11,19,14,8,2,99,31,13,22,15,9,2,7,99
11811,47023005,A047023005,18247,247 Ballycottin,Cork County,South-West,SE,Southern,13,1,19,2,1,46,7,7,5,14,21,61,101,2,10,22,13,8,18,15,8,1,97,31,18,24,11,9,2,2,97
11812,47023006,A047023006,18247,247 Ballycottin,Cork County,South-West,SE,Southern,9,0,16,0,1,45,0,6,13,9,16,52,90,2,10,9,24,10,13,7,2,3,80,19,9,22,9,9,4,8,80
11813,47023007,A047023007,18247,247 Ballycottin,Cork County,South-West,SE,Southern,10,0,9,0,0,46,12,5,5,10,9,63,87,3,6,16,21,8,7,15,4,4,84,22,13,18,20,4,1,6,84
11814,47023008,A047023008,18247,247 Ballycottin,Cork County,South-West,SE,Southern,17,0,14,1,0,65,30,9,15,17,15,104,151,6,17,17,25,25,14,29,4,3,140,42,34,33,16,4,4,7,140
12061,47024001,A047024001,18310,310 Ballydehob,Cork County,South-West,SE,Southern,1,2,3,0,0,31,24,14,16,3,3,69,91,1,1,1,13,16,26,12,6,6,82,46,17,8,1,2,0,8,82
12062,47024002,A047024002,18310,310 Ballydehob,Cork County,South-West,SE,Southern,2,2,9,1,0,17,20,7,14,4,10,44,72,0,2,1,7,12,20,15,2,6,65,24,21,8,0,1,0,11,65
